Year,Time series,Tourism Industries,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2023,Employed persons,Travel agencies and other reservation service activities,,,,84618.0
2010,Employed persons,Cultural activities,.,,,
2011,Employed persons,Cultural activities,.,,,
2012,Employed persons,Cultural activities,.,,,
2013,Employed persons,Cultural activities,.,,,
2014,Employed persons,Cultural activities,.,,,
2015,Employed persons,Cultural activities,.,,,
2016,Employed persons,Cultural activities,.,,,
2017,Employed persons,Cultural activities,.,,,
2018,Employed persons,Cultural activities,.,,,
2019,Employed persons,Cultural activities,.,,,
2020,Employed persons,Cultural activities,.,,,
2021,Employed persons,Cultural activities,,,,93922.0
2022,Employed persons,Cultural activities,,,,104048.0
2023,Employed persons,Cultural activities,,,,109369.0
2010,Employed persons,Sports and Recreational activities,.,,,
2011,Employed persons,Sports and Recreational activities,.,,,
2012,Employed persons,Sports and Recreational activities,.,,,
2013,Employed persons,Sports and Recreational activities,.,,,
2014,Employed persons,Sports and Recreational activities,.,,,
2015,Employed persons,Sports and Recreational activities,.,,,
2016,Employed persons,Sports and Recreational activities,.,,,
2017,Employed persons,Sports and Recreational activities,.,,,
2018,Employed persons,Sports and Recreational activities,.,,,
2019,Employed persons,Sports and Recreational activities,.,,,
2020,Employed persons,Sports and Recreational activities,.,,,
2021,Employed persons,Sports and Recreational activities,,,,306401.0
2022,Employed persons,Sports and Recreational activities,,,,320884.0
2023,Employed persons,Sports and Recreational activities,,,,312225.0
2010,Employees,Accommodation for visitors: hotels and similar establishments,.,,,
2011,Employees,Accommodation for visitors: hotels and similar establishments,.,,,
2012,Employees,Accommodation for visitors: hotels and similar establishments,.,,,
2013,Employees,Accommodation for visitors: hotels and similar establishments,.,,,
2014,Employees,Accommodation for visitors: hotels and similar establishments,.,,,
2015,Employees,Accommodation for visitors: hotels and similar establishments,.,,,
2016,Employees,Accommodation for visitors: hotels and similar establishments,.,,,
2017,Employees,Accommodation for visitors: hotels and similar establishments,.,,,
2018,Employees,Accommodation for visitors: hotels and similar establishments,.,,,
2019,Employees,Accommodation for visitors: hotels and similar establishments,.,,,
2020,Employees,Accommodation for visitors: hotels and similar establishments,,,,387316.0
2021,Employees,Accommodation for visitors: hotels and similar establishments,,,,412861.0
2022,Employees,Accommodation for visitors: hotels and similar establishments,,,,447744.0
2023,Employees,Accommodation for visitors: hotels and similar establishments,,,,451432.0
2010,Employees,Accommodation for visitors: other,.,,,
2011,Employees,Accommodation for visitors: other,.,,,
2012,Employees,Accommodation for visitors: other,.,,,
2013,Employees,Accommodation for visitors: other,.,,,
2014,Employees,Accommodation for visitors: other,.,,,
2015,Employees,Accommodation for visitors: other,.,,,
2016,Employees,Accommodation for visitors: other,.,,,
2017,Employees,Accommodation for visitors: other,.,,,
2018,Employees,Accommodation for visitors: other,.,,,
2019,Employees,Accommodation for visitors: other,.,,,
2020,Employees,Accommodation for visitors: other,,,,333052.0
2021,Employees,Accommodation for visitors: other,,,,474192.0
2022,Employees,Accommodation for visitors: other,,,,474307.0
2023,Employees,Accommodation for visitors: other,,,,471128.0
2010,Employees,Food and beverage serving activities,.,,,
2011,Employees,Food and beverage serving activities,.,,,
2012,Employees,Food and beverage serving activities,.,,,
2013,Employees,Food and beverage serving activities,.,,,
2014,Employees,Food and beverage serving activities,.,,,
2015,Employees,Food and beverage serving activities,.,,,
