Year,Units,Zeitreihe,Altersklasse,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2011,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,13 Jahre und jünger,,,,,1227.0
2012,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,13 Jahre und jünger,,,,,1101.0
2013,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,13 Jahre und jünger,,,,,1143.0
2014,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,13 Jahre und jünger,,,,,1063.0
2015,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,13 Jahre und jünger,,,,,817.0
2016,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,13 Jahre und jünger,,,,,806.0
2017,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,13 Jahre und jünger,,r,,,829.0
2018,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,13 Jahre und jünger,,r,,,798.0
2019,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,13 Jahre und jünger,,r,,,821.0
2020,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,13 Jahre und jünger,,r,,,751.0
2021,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,13 Jahre und jünger,,r,,,803.0
2022,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,13 Jahre und jünger,,r,,,822.0
2023,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,13 Jahre und jünger,,r,,,928.0
2024,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,13 Jahre und jünger,,,,,1019.0
2010,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,13 Jahre und jünger,Weiblich,,,,1132.0
2011,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,13 Jahre und jünger,Weiblich,,,,1087.0
2012,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,13 Jahre und jünger,Weiblich,,,,991.0
2013,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,13 Jahre und jünger,Weiblich,,,,1015.0
2014,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,13 Jahre und jünger,Weiblich,,,,943.0
2015,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,13 Jahre und jünger,Weiblich,,,,716.0
2016,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,13 Jahre und jünger,Weiblich,,,,710.0
2017,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,13 Jahre und jünger,Weiblich,r,,,718.0
2018,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,13 Jahre und jünger,Weiblich,r,,,724.0
2019,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,13 Jahre und jünger,Weiblich,r,,,704.0
2020,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,13 Jahre und jünger,Weiblich,r,,,624.0
2021,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,13 Jahre und jünger,Weiblich,r,,,672.0
2022,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,13 Jahre und jünger,Weiblich,r,,,686.0
2023,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,13 Jahre und jünger,Weiblich,r,,,786.0
2024,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,13 Jahre und jünger,Weiblich,,,,820.0
2010,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,13 Jahre und jünger,Männlich,,,,157.0
2011,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,13 Jahre und jünger,Männlich,,,,140.0
2012,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,13 Jahre und jünger,Männlich,,,,110.0
2013,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,13 Jahre und jünger,Männlich,,,,128.0
2014,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,13 Jahre und jünger,Männlich,,,,120.0
2015,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,13 Jahre und jünger,Männlich,,,,101.0
2016,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,13 Jahre und jünger,Männlich,,,,96.0
2017,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,13 Jahre und jünger,Männlich,r,,,111.0
2018,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,13 Jahre und jünger,Männlich,r,,,74.0
2019,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,13 Jahre und jünger,Männlich,r,,,117.0
2020,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,13 Jahre und jünger,Männlich,r,,,127.0
2021,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,13 Jahre und jünger,Männlich,r,,,131.0
2022,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,13 Jahre und jünger,Männlich,r,,,136.0
2023,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,13 Jahre und jünger,Männlich,r,,,142.0
2024,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,13 Jahre und jünger,Männlich,,,,199.0
2010,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,14 bis unter 18 Jahre,,,,,2467.0
2011,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,14 bis unter 18 Jahre,,,,,2202.0
2012,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,14 bis unter 18 Jahre,,,,,2036.0
2013,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,14 bis unter 18 Jahre,,,,,1769.0
2014,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,14 bis unter 18 Jahre,,,,,1654.0
2015,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,14 bis unter 18 Jahre,,,,,1402.0
2016,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,14 bis unter 18 Jahre,,,,,1253.0
2017,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,14 bis unter 18 Jahre,,r,,,1340.0
2018,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,14 bis unter 18 Jahre,,r,,,1462.0
2019,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,14 bis unter 18 Jahre,,r,,,1279.0
2020,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,14 bis unter 18 Jahre,,r,,,1385.0
2021,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,14 bis unter 18 Jahre,,r,,,1393.0
2022,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,14 bis unter 18 Jahre,,r,,,1321.0
2023,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,14 bis unter 18 Jahre,,r,,,1421.0
2024,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,14 bis unter 18 Jahre,,,,,1593.0
2010,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,,,,2185.0
2011,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,,,,1946.0
2012,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,,,,1804.0
2013,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,,,,1586.0
2014,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,,,,1477.0
2015,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,,,,1265.0
2016,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,,,,1136.0
2017,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,r,,,1214.0
2018,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,r,,,1298.0
2019,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,r,,,1149.0
2020,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,r,,,1252.0
2021,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,r,,,1226.0
2022,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,r,,,1174.0
2023,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,r,,,1223.0
2024,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,,,,1388.0
2010,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,14 bis unter 18 Jahre,Männlich,,,,282.0
2011,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,14 bis unter 18 Jahre,Männlich,,,,256.0
2012,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,14 bis unter 18 Jahre,Männlich,,,,232.0
2013,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,14 bis unter 18 Jahre,Männlich,,,,183.0
2014,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,14 bis unter 18 Jahre,Männlich,,,,177.0
2015,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,14 bis unter 18 Jahre,Männlich,,,,137.0
2016,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,14 bis unter 18 Jahre,Männlich,,,,117.0
2017,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,14 bis unter 18 Jahre,Männlich,r,,,126.0
2018,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,14 bis unter 18 Jahre,Männlich,r,,,164.0
2019,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,14 bis unter 18 Jahre,Männlich,r,,,130.0
2020,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,14 bis unter 18 Jahre,Männlich,r,,,133.0
2021,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,14 bis unter 18 Jahre,Männlich,r,,,167.0
2022,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,14 bis unter 18 Jahre,Männlich,r,,,147.0
2023,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,14 bis unter 18 Jahre,Männlich,r,,,198.0
2024,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,14 bis unter 18 Jahre,Männlich,,,,205.0
2010,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,18 bis unter 21 Jahre,,,,,23019.0
2011,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,18 bis unter 21 Jahre,,,,,21536.0
2012,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,18 bis unter 21 Jahre,,,,,21296.0
2013,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,18 bis unter 21 Jahre,,,,,20738.0
2014,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,18 bis unter 21 Jahre,,,,,18814.0
2015,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,18 bis unter 21 Jahre,,,,,17239.0
2016,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,18 bis unter 21 Jahre,,,,,16303.0
2017,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,18 bis unter 21 Jahre,,r,,,16060.0
2018,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,18 bis unter 21 Jahre,,r,,,16423.0
2019,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,18 bis unter 21 Jahre,,r,,,16440.0
2020,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,18 bis unter 21 Jahre,,r,,,17193.0
2021,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,18 bis unter 21 Jahre,,r,,,18068.0
2022,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,18 bis unter 21 Jahre,,r,,,18925.0
2023,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,18 bis unter 21 Jahre,,r,,,20453.0
2024,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,18 bis unter 21 Jahre,,,,,21639.0
2010,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,,,,18342.0
2011,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,,,,17238.0
2012,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,,,,17207.0
2013,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,,,,16679.0
2014,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,,,,15118.0
2015,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,,,,13916.0
2016,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,,,,13260.0
2017,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,r,,,13064.0
2018,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,r,,,13403.0
2019,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,r,,,13504.0
2020,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,r,,,14027.0
2021,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,r,,,14625.0
2022,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,r,,,15432.0
2023,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,r,,,16583.0
2024,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,,,,17639.0
2010,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,18 bis unter 21 Jahre,Männlich,,,,4677.0
2011,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,18 bis unter 21 Jahre,Männlich,,,,4298.0
2012,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,18 bis unter 21 Jahre,Männlich,,,,4089.0
2013,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,18 bis unter 21 Jahre,Männlich,,,,4059.0
2014,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,18 bis unter 21 Jahre,Männlich,,,,3696.0
2015,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,18 bis unter 21 Jahre,Männlich,,,,3323.0
2016,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,18 bis unter 21 Jahre,Männlich,,,,3043.0
2017,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,18 bis unter 21 Jahre,Männlich,r,,,2996.0
2018,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,18 bis unter 21 Jahre,Männlich,r,,,3020.0
2019,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,18 bis unter 21 Jahre,Männlich,r,,,2936.0
2020,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,18 bis unter 21 Jahre,Männlich,r,,,3166.0
2021,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,18 bis unter 21 Jahre,Männlich,r,,,3443.0
2022,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,18 bis unter 21 Jahre,Männlich,r,,,3493.0
2023,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,18 bis unter 21 Jahre,Männlich,r,,,3870.0
2024,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,18 bis unter 21 Jahre,Männlich,,,,4000.0
2010,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,21 bis unter 60 Jahre,,,,,1652.0
2011,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,21 bis unter 60 Jahre,,,,,1495.0
2012,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,21 bis unter 60 Jahre,,,,,1495.0
2013,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,21 bis unter 60 Jahre,,,,,1440.0
2014,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,21 bis unter 60 Jahre,,,,,1395.0
2015,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,21 bis unter 60 Jahre,,,,,1269.0
2016,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,21 bis unter 60 Jahre,,,,,1251.0
2017,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,21 bis unter 60 Jahre,,r,,,1183.0
2018,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,21 bis unter 60 Jahre,,r,,,1251.0
2019,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,21 bis unter 60 Jahre,,r,,,1266.0
2020,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,21 bis unter 60 Jahre,,r,,,1288.0
2021,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,21 bis unter 60 Jahre,,r,,,1423.0
2022,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,21 bis unter 60 Jahre,,r,,,1554.0
2023,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,21 bis unter 60 Jahre,,r,,,1757.0
2024,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,21 bis unter 60 Jahre,,,,,1771.0
2010,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,,,,978.0
2011,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,,,,880.0
2012,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,,,,905.0
2013,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,,,,902.0
2014,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,,,,884.0
2015,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,,,,823.0
2016,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,,,,788.0
2017,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,r,,,791.0
2018,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,r,,,792.0
2019,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,r,,,834.0
2020,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,r,,,845.0
2021,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,r,,,906.0
2022,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,r,,,1023.0
2023,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,r,,,1144.0
2024,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,,,,1131.0
2010,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,21 bis unter 60 Jahre,Männlich,,,,674.0
2011,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,21 bis unter 60 Jahre,Männlich,,,,615.0
2012,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,21 bis unter 60 Jahre,Männlich,,,,590.0
2013,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,21 bis unter 60 Jahre,Männlich,,,,538.0
2014,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,21 bis unter 60 Jahre,Männlich,,,,511.0
2015,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,21 bis unter 60 Jahre,Männlich,,,,446.0
2016,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,21 bis unter 60 Jahre,Männlich,,,,463.0
2017,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,21 bis unter 60 Jahre,Männlich,r,,,392.0
2018,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,21 bis unter 60 Jahre,Männlich,r,,,459.0
2019,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,21 bis unter 60 Jahre,Männlich,r,,,432.0
2020,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,21 bis unter 60 Jahre,Männlich,r,,,443.0
2021,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,21 bis unter 60 Jahre,Männlich,r,,,517.0
2022,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,21 bis unter 60 Jahre,Männlich,r,,,531.0
2023,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,21 bis unter 60 Jahre,Männlich,r,,,613.0
2024,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,21 bis unter 60 Jahre,Männlich,,,,640.0
2010,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,60 Jahre und älter,,,,,7523.0
2011,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,60 Jahre und älter,,,,,8011.0
2012,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,60 Jahre und älter,,,,,8306.0
2013,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,60 Jahre und älter,,,,,8161.0
2014,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,60 Jahre und älter,,,,,8356.0
2015,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,60 Jahre und älter,,,,,8262.0
2016,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,60 Jahre und älter,,,,,8599.0
2017,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,60 Jahre und älter,,r,,,8350.0
2018,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,60 Jahre und älter,,r,,,8817.0
2019,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,60 Jahre und älter,,r,,,8031.0
2020,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,60 Jahre und älter,,r,,,9319.0
2021,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,60 Jahre und älter,,|,r,,9035.0
2022,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,60 Jahre und älter,,r,,,9640.0
2023,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,60 Jahre und älter,,r,,,10166.0
2024,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,60 Jahre und älter,,,,,10773.0
2010,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,60 Jahre und älter,Weiblich,,,,6624.0
2011,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,60 Jahre und älter,Weiblich,,,,7050.0
2012,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,60 Jahre und älter,Weiblich,,,,7400.0
2013,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,60 Jahre und älter,Weiblich,,,,7269.0
2014,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,60 Jahre und älter,Weiblich,,,,7381.0
