Year,Units,Sektor,Art der öffentlichen Entwicklungsleistung,Art des Finanzstroms,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2024,Millionen EUR,Energie,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,2663.402
2010,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,63.574
2011,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,88.251
2012,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,73.644
2013,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,48.583
2014,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,51.959
2015,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,65.08
2016,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,131.599
2017,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,152.943
2018,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,230.109
2019,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,217.125
2020,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,321.776
2021,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,257.277
2022,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,150.243
2023,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,127.399
2024,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,123.998
2010,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Zusagen,Sonstige öffentliche Leistungen,,,,
2011,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Zusagen,Sonstige öffentliche Leistungen,,,,
2012,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Zusagen,Sonstige öffentliche Leistungen,,,,
2013,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Zusagen,Sonstige öffentliche Leistungen,,,,
2014,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Zusagen,Sonstige öffentliche Leistungen,,,,
2015,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Zusagen,Sonstige öffentliche Leistungen,,,,
2016,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Zusagen,Sonstige öffentliche Leistungen,,,,
2017,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Zusagen,Sonstige öffentliche Leistungen,,,,
2018,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Zusagen,Sonstige öffentliche Leistungen,,,,
2019,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Zusagen,Sonstige öffentliche Leistungen,,,,34.209
2020,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Zusagen,Sonstige öffentliche Leistungen,,,,79.816
2021,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Zusagen,Sonstige öffentliche Leistungen,,,,
2022,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Zusagen,Sonstige öffentliche Leistungen,,,,45.946
2023,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Zusagen,Sonstige öffentliche Leistungen,,,,
2024,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Zusagen,Sonstige öffentliche Leistungen,,,,
2010,Millionen EUR,Transport und Lagerung,Zusagen,Sonstige öffentliche Leistungen,,,,
2011,Millionen EUR,Transport und Lagerung,Zusagen,Sonstige öffentliche Leistungen,,,,
2012,Millionen EUR,Transport und Lagerung,Zusagen,Sonstige öffentliche Leistungen,,,,
2013,Millionen EUR,Transport und Lagerung,Zusagen,Sonstige öffentliche Leistungen,,,,
2014,Millionen EUR,Transport und Lagerung,Zusagen,Sonstige öffentliche Leistungen,,,,
2015,Millionen EUR,Transport und Lagerung,Zusagen,Sonstige öffentliche Leistungen,,,,
2016,Millionen EUR,Transport und Lagerung,Zusagen,Sonstige öffentliche Leistungen,,,,
2017,Millionen EUR,Transport und Lagerung,Zusagen,Sonstige öffentliche Leistungen,,,,
2018,Millionen EUR,Transport und Lagerung,Zusagen,Sonstige öffentliche Leistungen,,,,72.34
2019,Millionen EUR,Transport und Lagerung,Zusagen,Sonstige öffentliche Leistungen,,,,52.089
2020,Millionen EUR,Transport und Lagerung,Zusagen,Sonstige öffentliche Leistungen,,,,18.869
2021,Millionen EUR,Transport und Lagerung,Zusagen,Sonstige öffentliche Leistungen,,,,39.431
2022,Millionen EUR,Transport und Lagerung,Zusagen,Sonstige öffentliche Leistungen,,,,39.498
2023,Millionen EUR,Transport und Lagerung,Zusagen,Sonstige öffentliche Leistungen,,,,9.683
2024,Millionen EUR,Transport und Lagerung,Zusagen,Sonstige öffentliche Leistungen,,,,
2010,Millionen EUR,Kommunikation,Zusagen,Sonstige öffentliche Leistungen,,,,
2011,Millionen EUR,Kommunikation,Zusagen,Sonstige öffentliche Leistungen,,,,
2012,Millionen EUR,Kommunikation,Zusagen,Sonstige öffentliche Leistungen,,,,
2013,Millionen EUR,Kommunikation,Zusagen,Sonstige öffentliche Leistungen,,,,
2014,Millionen EUR,Kommunikation,Zusagen,Sonstige öffentliche Leistungen,,,,
2015,Millionen EUR,Kommunikation,Zusagen,Sonstige öffentliche Leistungen,,,,
2016,Millionen EUR,Kommunikation,Zusagen,Sonstige öffentliche Leistungen,,,,
2017,Millionen EUR,Kommunikation,Zusagen,Sonstige öffentliche Leistungen,,,,
2018,Millionen EUR,Kommunikation,Zusagen,Sonstige öffentliche Leistungen,,,,19.649
2019,Millionen EUR,Kommunikation,Zusagen,Sonstige öffentliche Leistungen,,,,28.006
2020,Millionen EUR,Kommunikation,Zusagen,Sonstige öffentliche Leistungen,,,,22.237
2021,Millionen EUR,Kommunikation,Zusagen,Sonstige öffentliche Leistungen,,,,20.82
2022,Millionen EUR,Kommunikation,Zusagen,Sonstige öffentliche Leistungen,,,,50.769
2023,Millionen EUR,Kommunikation,Zusagen,Sonstige öffentliche Leistungen,,,,
2024,Millionen EUR,Kommunikation,Zusagen,Sonstige öffentliche Leistungen,,,,
2010,Millionen EUR,Energie,Zusagen,Sonstige öffentliche Leistungen,,,,
2011,Millionen EUR,Energie,Zusagen,Sonstige öffentliche Leistungen,,,,
2012,Millionen EUR,Energie,Zusagen,Sonstige öffentliche Leistungen,,,,
2013,Millionen EUR,Energie,Zusagen,Sonstige öffentliche Leistungen,,,,
2014,Millionen EUR,Energie,Zusagen,Sonstige öffentliche Leistungen,,,,
2015,Millionen EUR,Energie,Zusagen,Sonstige öffentliche Leistungen,,,,
2016,Millionen EUR,Energie,Zusagen,Sonstige öffentliche Leistungen,,,,
2017,Millionen EUR,Energie,Zusagen,Sonstige öffentliche Leistungen,,,,
2018,Millionen EUR,Energie,Zusagen,Sonstige öffentliche Leistungen,,,,154.328
2019,Millionen EUR,Energie,Zusagen,Sonstige öffentliche Leistungen,,,,146.486
2020,Millionen EUR,Energie,Zusagen,Sonstige öffentliche Leistungen,,,,94.567
2021,Millionen EUR,Energie,Zusagen,Sonstige öffentliche Leistungen,,,,89.522
2022,Millionen EUR,Energie,Zusagen,Sonstige öffentliche Leistungen,,,,176.929
2023,Millionen EUR,Energie,Zusagen,Sonstige öffentliche Leistungen,,,,200.0
2024,Millionen EUR,Energie,Zusagen,Sonstige öffentliche Leistungen,,,,
2010,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Zusagen,Sonstige öffentliche Leistungen,,,,
2011,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Zusagen,Sonstige öffentliche Leistungen,,,,
2012,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Zusagen,Sonstige öffentliche Leistungen,,,,
2013,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Zusagen,Sonstige öffentliche Leistungen,,,,
2014,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Zusagen,Sonstige öffentliche Leistungen,,,,
2015,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Zusagen,Sonstige öffentliche Leistungen,,,,
2016,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Zusagen,Sonstige öffentliche Leistungen,,,,
2017,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Zusagen,Sonstige öffentliche Leistungen,,,,
2018,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Zusagen,Sonstige öffentliche Leistungen,,,,
2019,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Zusagen,Sonstige öffentliche Leistungen,,,,
2020,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Zusagen,Sonstige öffentliche Leistungen,,,,
2021,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Zusagen,Sonstige öffentliche Leistungen,,,,
2022,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Zusagen,Sonstige öffentliche Leistungen,,,,
2023,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Zusagen,Sonstige öffentliche Leistungen,,,,
2024,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Zusagen,Sonstige öffentliche Leistungen,,,,
2010,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2011,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2012,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2013,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2014,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2015,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,8.043
2016,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,5.737
2017,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2018,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2019,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,34.209
2020,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,79.816
2021,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2022,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,45.946
