Year,timeseries,tourism industries,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2012,employees,railway passenger transport,…,,,
2013,employees,railway passenger transport,…,,,
2014,employees,railway passenger transport,…,,,
2015,employees,railway passenger transport,…,,,
2016,employees,railway passenger transport,…,,,
2017,employees,railway passenger transport,…,,,
2018,employees,railway passenger transport,…,,,
2019,employees,railway passenger transport,…,,,
2020,employees,railway passenger transport,…,,,
2021,employees,railway passenger transport,…,,,
2022,employees,railway passenger transport,,,,25202
2023,employees,railway passenger transport,,,,25719
2010,employees,road passenger transport,…,,,
2011,employees,road passenger transport,…,,,
2012,employees,road passenger transport,…,,,
2013,employees,road passenger transport,…,,,
2014,employees,road passenger transport,…,,,
2015,employees,road passenger transport,…,,,
2016,employees,road passenger transport,…,,,
2017,employees,road passenger transport,…,,,
2018,employees,road passenger transport,…,,,
2019,employees,road passenger transport,…,,,
2020,employees,road passenger transport,,,,141037
2021,employees,road passenger transport,,,,164689
2022,employees,road passenger transport,,,,171881
2023,employees,road passenger transport,,,,182026
2010,employees,water passenger transport,…,,,
2011,employees,water passenger transport,…,,,
2012,employees,water passenger transport,…,,,
2013,employees,water passenger transport,…,,,
2014,employees,water passenger transport,…,,,
2015,employees,water passenger transport,…,,,
2016,employees,water passenger transport,…,,,
2017,employees,water passenger transport,…,,,
2018,employees,water passenger transport,…,,,
2019,employees,water passenger transport,…,,,
2020,employees,water passenger transport,,,,8137
2021,employees,water passenger transport,,,,8254
2022,employees,water passenger transport,,,,8710
2023,employees,water passenger transport,,,,8480
2010,employees,air passenger transport,…,,,
2011,employees,air passenger transport,…,,,
2012,employees,air passenger transport,…,,,
2013,employees,air passenger transport,…,,,
2014,employees,air passenger transport,…,,,
2015,employees,air passenger transport,…,,,
2016,employees,air passenger transport,…,,,
2017,employees,air passenger transport,…,,,
2018,employees,air passenger transport,…,,,
2019,employees,air passenger transport,…,,,
2020,employees,air passenger transport,,,,57763
2021,employees,air passenger transport,,,,53976
2022,employees,air passenger transport,,,,52214
2023,employees,air passenger transport,,,,56268
2010,employees,transport equipment rental,…,,,
2011,employees,transport equipment rental,…,,,
2012,employees,transport equipment rental,…,,,
2013,employees,transport equipment rental,…,,,
2014,employees,transport equipment rental,…,,,
2015,employees,transport equipment rental,…,,,
2016,employees,transport equipment rental,…,,,
2017,employees,transport equipment rental,…,,,
2018,employees,transport equipment rental,…,,,
2019,employees,transport equipment rental,…,,,
2020,employees,transport equipment rental,,,,30207
2021,employees,transport equipment rental,,,,35394
2022,employees,transport equipment rental,,,,40890
2023,employees,transport equipment rental,,,,38225
2010,employees,travel agencies and other reservation service activities,…,,,
2011,employees,travel agencies and other reservation service activities,…,,,
2012,employees,travel agencies and other reservation service activities,…,,,
2013,employees,travel agencies and other reservation service activities,…,,,
2014,employees,travel agencies and other reservation service activities,…,,,
2015,employees,travel agencies and other reservation service activities,…,,,
2016,employees,travel agencies and other reservation service activities,…,,,
2017,employees,travel agencies and other reservation service activities,…,,,
2018,employees,travel agencies and other reservation service activities,…,,,
2019,employees,travel agencies and other reservation service activities,…,,,
2020,employees,travel agencies and other reservation service activities,,,,71757
2021,employees,travel agencies and other reservation service activities,,,,69620
2022,employees,travel agencies and other reservation service activities,,,,78682
2023,employees,travel agencies and other reservation service activities,,,,74969
2010,employees,cultural activities,…,,,
2011,employees,cultural activities,…,,,
2012,employees,cultural activities,…,,,
2013,employees,cultural activities,…,,,
2014,employees,cultural activities,…,,,
2015,employees,cultural activities,…,,,
2016,employees,cultural activities,…,,,
2017,employees,cultural activities,…,,,
